,station,valid,lon,lat,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar
6381394,MUT,2008-11-12 09:55,-91.1406,41.367,44.60,44.60,100.00,150.00,6.00,M,29.91,M,4.00,-99.00,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,40.71,M
2996452,CIN,2008-05-29 21:12,-94.7889,42.0444,62.00,60.00,93.15,130.00,14.00,M,29.89,M,7.00,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,62.00,M
7138575,CRS,2008-12-18 03:53,-96.4,32.03,48.02,46.94,96.02,0.00,0.00,M,30.17,1021.80,0.25,M,VV ,   ,   ,M,100.00,M,M,M,FG,M,M,M,M,M,M,48.02,METAR KCRS 180353Z AUTO 00000KT 1/4SM FG VV001 09/08 A3017 RMK AO2 SLP218 T00890083
310551,PPA,2008-01-16 09:09,-100.9963,35.613,32.00,28.40,86.39,190.00,9.00,M,29.65,M,10.00,M,CLR,   ,   ,M,M,M,M,M,M,M,M,M,M,M,M,23.51,METAR KPPA 160909Z AUTO 19009KT 10SM CLR 00/M02 A2965 RMK AO2
2092933,CPT,2008-04-13 13:25,-97.4338,32.3537,51.80,41.00,66.48,350.00,8.00,M,30.33,M,10.00,M,OVC,   ,   ,M,12000.00,M,M,M,M,M,M,M,M,M,M,51.80,METAR KCPT 131325Z AUTO 35008KT 10SM OVC120 11/05 A3033 RMK AO2
2803869,ORC,2008-05-20 03:04,-96.0606,42.9895,65.00,46.00,50.14,340.00,6.00,M,29.65,M,10.00,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,65.00,M
5459135,TVK,2008-09-28 18:22,-92.8983,40.6832,73.00,64.00,M,M,M,M,30.17,M,10.00,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M
6297443,ASJ,2008-11-08 05:43,-77.17,36.3,55.40,51.80,87.65,170.00,4.00,M,29.83,M,10.00,M,CLR,   ,   ,M,M,M,M,M,M,M,M,M,M,M,M,55.40,METAR KASJ 080543Z AUTO 17004KT 10SM CLR 13/11 A2983 RMK AO2
4097273,CAV,2008-07-23 06:55,-93.7593,42.743,64.40,62.60,93.88,90.00,5.00,M,30.13,M,10.00,-99.00,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,64.40,M
1279171,E38,2008-03-04 11:05,-103.684,30.384,30.20,12.20,46.62,0.00,0.00,M,30.10,M,10.00,M,CLR,   ,   ,M,M,M,M,M,M,M,M,M,M,M,M,30.20,METAR KE38 041105Z AUTO 00000KT 10SM CLR M01/M11 A3010 RMK AO2
2576486,LBT,2008-05-08 11:54,-79.06,34.61,69.08,64.04,83.98,220.00,6.00,M,29.95,1014.10,10.00,M,SCT,BKN,   ,M,2600.00,11000.00,M,M,M,M,M,M,M,M,M,69.08,METAR KLBT 081154Z AUTO 22006KT 10SM SCT026 BKN110 21/18 A2995 RMK AO2 SLP141 T02060178 10206 20178 53012
5573583,RWI,2008-10-04 04:53,-77.8919,35.8563,50.00,48.92,96.05,0.00,0.00,M,30.12,1020.00,3.00,M,CLR,   ,   ,M,M,M,M,M,BR,M,M,M,M,M,M,50.00,METAR KRWI 040453Z AUTO 00000KT 3SM BR CLR 10/09 A3012 RMK AO2 SLP200 T01000094 402330061
3060748,UIL,2008-06-02 06:53,-124.5626,47.9366,48.92,44.96,86.13,0.00,0.00,M,30.17,1021.60,10.00,M,OVC,   ,   ,M,4200.00,M,M,M,M,M,M,M,M,M,M,48.92,METAR KUIL 020653Z AUTO 00000KT 10SM OVC042 09/07 A3017 RMK AO2 SLP216 T00940072 TSNO
3958661,GGI,2008-07-16 13:55,-92.7332,41.7097,77.00,69.00,76.36,160.00,6.00,M,30.09,M,10.00,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,77.00,M
1693365,BVS,2008-03-23 14:10,-122.42,48.47,44.60,39.20,81.20,160.00,15.00,M,30.00,M,10.00,24.00,SCT,BKN,OVC,M,1700.00,4100.00,4900.00,M,M,M,M,M,M,M,M,37.11,METAR KBVS 231410Z AUTO 16015G24KT 10SM SCT017 BKN041 OVC049 07/04 A3000 RMK A01 P000
7230143,CCY,2008-12-22 14:53,-92.6132,43.073,-11.00,-15.00,81.85,260.00,5.00,M,30.41,M,10.00,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,-24.67,M
3084306,UIL,2008-06-03 10:53,-124.5626,47.9366,48.92,46.94,92.84,80.00,3.00,0.08,29.82,1009.60,5.00,M,OVC,   ,   ,M,1700.00,M,M,M,-RA BR,M,M,M,M,M,M,48.03,METAR KUIL 031053Z AUTO 08003KT 5SM -RA BR OVC017 09/08 A2982 RMK AO2 SLP096 P0008 T00940083 TSNO
1600462,HNR,2008-03-19 05:15,-95.3355,41.5834,33.80,32.00,93.03,M,0.00,M,30.02,M,5.00,-99.00,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,33.80,M
1291046,AFP,2008-03-05 00:40,-80.0771,35.0206,66.20,62.60,88.18,170.00,18.00,0.01,29.62,M,10.00,26.00,BKN,BKN,OVC,M,2100.00,2700.00,4800.00,M,-RA,M,M,M,M,M,M,66.20,METAR KAFP 050040Z AUTO 17018G26KT 10SM -RA BKN021 BKN027 OVC048 19/17 A2962 RMK AO2 P0001
4373088,SLK,2008-08-06 23:51,-74.2062,44.3853,60.98,59.00,93.19,0.00,0.00,M,29.80,1008.60,10.00,M,FEW,   ,   ,   ,6000.00,M,M,M,M,M,M,M,M,M,M,60.98,METAR KSLK 062351Z AUTO 00000KT 10SM FEW060 16/15 A2980 RMK AO2 SLP086 60017 T01610150 10228 20161 50003
11334,CLL,2008-01-01 14:53,-96.3639,30.5881,42.08,24.08,48.56,360.00,10.00,M,30.71,1039.90,10.00,M,CLR,   ,   ,M,M,M,M,M,M,M,M,M,M,M,M,35.61,METAR KCLL 011453Z 36010KT 10SM CLR 06/M04 A3071 RMK AO2 SLP399 T00561044 51036
7249967,XBP,2008-12-23 14:25,-97.8284,33.1753,32.00,32.00,100.00,150.00,5.00,M,29.99,M,1.75,M,OVC,   ,   ,M,900.00,M,M,M,BR,M,M,M,M,M,M,26.40,METAR KXBP 231425Z AUTO 15005KT 1 3/4SM BR OVC009 00/00 A2999 RMK AO2
6176684,FQD,2008-11-01 22:52,-81.9351,35.4282,66.20,35.60,32.14,0.00,0.00,M,30.29,M,10.00,M,   ,   ,   ,M,M,M,M,M,M,M,M,M,M,M,M,66.20,METAR KFQD 012252Z AUTO 00000KT 10SM 19/02 A3029 RMK AO2
347192,JSO,2008-01-18 04:25,-95.22,31.87,33.80,23.00,64.23,10.00,4.00,M,30.20,M,10.00,M,OVC,   ,   ,M,9000.00,M,M,M,M,M,M,M,M,M,M,29.52,METAR KJSO 180425Z AUTO 01004KT 10SM OVC090 01/M05 A3020 RMK AO2
118765,OOA,2008-01-07 00:15,-92.4919,41.2273,41.00,37.40,86.89,M,0.00,M,29.75,M,M,-99.00,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,41.00,M
7170499,AWG,2008-12-19 16:53,-91.6748,41.2751,29.00,25.00,84.79,0.00,0.00,M,29.97,M,5.50,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,29.00,M
2453671,PEZ,2008-05-02 03:25,-98.52,28.9542,75.20,75.20,100.00,120.00,11.00,M,29.63,M,7.00,15.00,CLR,   ,   ,M,M,M,M,M,M,M,M,M,M,M,M,77.12,METAR KPEZ 020325Z AUTO 12011G15KT 7SM CLR 24/24 A2963 RMK AO2
4401871,RWV,2008-08-08 12:05,-96.7041,30.5155,75.20,73.40,94.14,220.00,4.00,M,30.01,M,7.00,M,CLR,   ,   ,M,M,M,M,M,M,M,M,M,M,M,M,76.84,METAR KRWV 081205Z AUTO 22004KT 7SM CLR 24/23 A3001 RMK AO2
236416,HHF,2008-01-12 18:27,-100.404,35.895,51.80,23.00,32.17,360.00,12.00,M,30.07,M,10.00,17.00,CLR,   ,   ,M,M,M,M,M,M,M,M,M,M,M,M,51.80,METAR KHHF 121827Z AUTO 36012G17KT 10SM CLR 11/M05 A3007 RMK AO2
1634317,EBS,2008-03-20 17:33,-93.8691,42.4392,50.00,41.00,71.07,130.00,15.00,M,30.12,M,10.00,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,44.12,M
524093,OLZ,2008-01-26 17:14,-91.976,42.6831,19.00,13.00,77.06,270.00,10.00,M,29.92,M,10.00,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,6.67,M
1875107,SHN,2008-04-02 02:53,-123.1476,47.2336,42.98,28.94,57.35,10.00,3.00,M,30.17,1022.30,10.00,M,CLR,   ,   ,M,M,M,M,M,M,M,M,M,M,M,M,41.24,METAR KSHN 020253Z AUTO 01003KT 10SM CLR 06/M02 A3017 RMK AO2 SLP223 T00611017 55005
3841180,ICL,2008-07-10 17:55,-95.0223,40.7242,86.00,66.20,51.72,200.00,12.00,M,29.95,M,10.00,17.00,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,88.39,M
2160645,SUT,2008-04-17 00:40,-78.0747,33.9292,53.60,35.60,50.36,0.00,0.00,M,30.22,M,10.00,M,CLR,   ,   ,M,M,M,M,M,M,M,M,M,M,M,M,53.60,METAR KSUT 170040Z AUTO 00000KT 10SM CLR 12/02 A3022 RMK AO2
198987,HPN,2008-01-10 23:56,-73.7075,41.0669,42.98,21.02,41.24,0.00,0.00,M,30.10,1019.60,10.00,M,BKN,   ,   ,   ,9500.00,M,M,M,M,M,M,M,M,M,M,42.98,METAR KHPN 102356Z 00000KT 10SM BKN095 06/M06 A3010 RMK AO2 SLP196 T00611061 10094 20050 58006
856116,GEV,2008-02-12 05:02,-81.42,36.43,33.80,10.40,37.22,0.00,0.00,M,30.18,M,10.00,M,CLR,   ,   ,M,M,M,M,M,M,M,M,M,M,M,M,33.80,METAR KGEV 120502Z AUTO 00000KT 10SM CLR 01/M12 A3018 RMK AO2
2681864,INJ,2008-05-13 21:25,-97.0972,32.0836,80.60,71.60,74.11,140.00,15.00,M,29.78,M,10.00,22.00,SCT,SCT,   ,M,2000.00,12000.00,M,M,M,M,M,M,M,M,M,84.57,METAR KINJ 132125Z AUTO 14015G22KT 10SM SCT020 SCT120 27/22 A2978 RMK AO2
2521785,MUT,2008-05-05 15:57,-91.1406,41.367,72.00,44.00,M,M,M,M,30.03,M,10.00,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M
6114024,EBS,2008-10-29 13:25,-93.8691,42.4392,31.00,25.00,M,M,M,M,30.18,M,10.00,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M
144656,CAV,2008-01-08 09:25,-93.7593,42.743,31.00,31.00,100.00,330.00,6.00,M,29.72,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,24.33,M
4942972,JQF,2008-09-04 05:40,-80.7091,35.3878,62.60,62.60,100.00,0.00,0.00,M,29.99,M,3.00,M,CLR,   ,   ,M,M,M,M,M,BR,M,M,M,M,M,M,62.60,METAR KJQF 040540Z AUTO 00000KT 3SM BR CLR 17/17 A2999 RMK AO2
4554997,OAJ,2008-08-16 15:15,-77.6121,34.8292,77.00,69.80,78.48,50.00,6.00,M,30.06,M,10.00,M,SCT,   ,   ,M,12000.00,M,M,M,M,M,M,M,M,M,M,78.09,METAR KOAJ 161515Z AUTO 05006KT 10SM SCT120 25/21 A3006 RMK AO2 PWINO FZRANO RVRNO
4813072,AIO,2008-08-29 02:32,-95.0465,41.4059,63.00,58.00,83.72,350.00,5.00,M,29.96,M,10.00,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,63.00,M
2987549,FFL,2008-05-29 10:45,-91.9834,41.0521,52.00,45.00,76.94,120.00,4.00,M,30.19,M,10.00,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,52.00,M
1956346,SDA,2008-04-06 06:17,-95.4112,40.7533,52.00,40.00,63.48,130.00,7.00,M,29.71,M,10.00,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,52.00,M
6319138,DFW,2008-11-09 07:53,-97.038,32.8968,53.06,35.96,52.11,50.00,3.00,M,30.04,M,10.00,-99.00,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,53.06,M
3422766,EOK,2008-06-19 23:26,-91.4274,40.4615,74.00,57.00,55.34,270.00,6.00,M,29.91,M,10.00,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,74.00,M
2638900,F39,2008-05-11 16:44,-96.6667,33.7167,59.00,33.80,38.56,310.00,7.00,M,30.14,M,10.00,16.00,CLR,   ,   ,M,M,M,M,M,M,M,M,M,M,M,M,59.00,METAR KGYI 111644Z AUTO 31007G16KT 10SM CLR 15/01 A3014 RMK AO2
5100770,MXO,2008-09-12 04:45,-91.1605,42.2204,71.00,67.00,87.19,190.00,5.00,M,29.96,M,5.50,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,71.00,M
4268177,NOG,2008-08-01 08:53,-98.0517,27.9011,75.92,73.94,93.59,0.00,0.00,M,29.85,1010.60,2.00,M,FEW,   ,   ,M,800.00,M,M,M,BR,M,M,M,M,M,M,77.61,METAR KALI 010853Z AUTO 00000KT 2SM BR FEW008 24/23 A2985 RMK AO2 SLP106 T02440233 53000
1326262,BNW,2008-03-06 16:16,-93.8486,42.0486,26.00,18.00,71.33,280.00,12.00,M,30.17,M,10.00,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,14.37,M
3512585,MUT,2008-06-24 09:06,-91.1406,41.367,65.00,62.00,M,M,M,M,30.14,M,10.00,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M
6343281,ATT,2008-11-10 12:51,-97.7601,30.3208,66.02,57.02,72.72,M,4.00,M,29.92,1012.40,10.00,M,BKN,OVC,   ,M,2700.00,3200.00,M,M,M,M,M,M,M,M,M,66.02,METAR KATT 101251Z AUTO VRB04KT 10SM BKN027 OVC032 19/14 A2992 RMK AO2 SLP124 T01890139
1832195,DEH,2008-03-30 17:07,-91.7433,43.2755,44.00,36.00,73.27,190.00,4.00,M,30.11,M,10.00,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,41.43,M
4488432,POU,2008-08-13 01:53,-73.8842,41.6266,64.94,62.06,90.39,0.00,0.00,M,29.79,1008.30,10.00,M,BKN,OVC,   ,   ,9500.00,11000.00,M,M,M,M,M,M,M,M,M,64.94,METAR KPOU 130153Z 00000KT 10SM BKN095 OVC110 18/17 A2979 RMK AO2 SLP083 T01830167
723617,FFL,2008-02-05 15:14,-91.9834,41.0521,35.00,32.00,88.68,20.00,8.00,M,29.96,M,4.00,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,27.81,M
6085460,MUT,2008-10-28 01:35,-91.1406,41.367,41.00,28.40,60.54,310.00,5.00,M,30.44,M,10.00,-99.00,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,37.08,M
7269720,CAV,2008-12-24 13:23,-93.7593,42.743,9.00,5.00,83.41,290.00,15.00,M,29.81,M,10.00,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,-9.04,M
2428126,SLB,2008-04-30 17:55,-95.2399,42.5972,66.20,41.00,39.72,120.00,23.00,M,29.62,M,10.00,28.00,CLR,   ,   ,M,M,M,M,M,M,M,M,M,M,M,M,66.20,METAR KSLB 301755Z AUTO 12023G28KT 10SM CLR 19/05 A2962 RMK AO2
4511874,NOG,2008-08-14 08:53,-98.0517,27.9011,78.98,75.92,90.37,0.00,0.00,M,29.83,1009.90,3.00,M,OVC,   ,   ,M,1600.00,M,M,M,BR,M,M,M,M,M,M,82.96,METAR KALI 140853Z AUTO 00000KT 3SM BR OVC016 26/24 A2983 RMK AO2 SLP099 T02610244 55001
4039091,MSV,2008-07-20 10:55,-74.795,41.7016,66.20,64.40,93.92,0.00,0.00,M,30.01,M,3.00,M,CLR,   ,   ,   ,M,M,M,M,M,M,M,M,M,M,M,66.20,METAR KMSV 201055Z AUTO 00000KT 3SM CLR 19/18 A3001 RMK AO1
1815111,SDA,2008-03-29 20:47,-95.4112,40.7533,55.00,30.00,38.21,130.00,18.00,M,30.00,M,10.00,25.00,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,55.00,M
780964,PEZ,2008-02-08 12:05,-98.52,28.9542,35.60,28.40,74.80,0.00,0.00,M,29.96,M,10.00,M,CLR,   ,   ,M,M,M,M,M,M,M,M,M,M,M,M,35.60,METAR KPEZ 081205Z AUTO 00000KT 10SM CLR 02/M02 A2996 RMK AO2
7314628,VTI,2008-12-26 17:15,-92.0248,42.2176,37.40,35.60,93.14,160.00,16.00,M,29.72,M,4.00,21.00,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,27.46,M
1831127,NKT,2008-03-30 15:54,-76.88,34.9,48.02,44.96,89.08,50.00,16.00,0.01,30.47,1031.30,6.00,25.00,SCT,BKN,OVC,M,1000.00,1500.00,2500.00,M,BR,M,M,M,M,M,M,41.30,METAR KNKT 301554Z 05016G25KT 6SM BR SCT010 BKN015 OVC025 09/07 A3047 RMK AO2 RAE53 SLP313 P0001 T00890072
3064699,ICL,2008-06-02 11:36,-95.0223,40.7242,66.00,59.00,M,M,M,M,29.90,M,10.00,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M
165732,PEQ,2008-01-09 11:46,-103.51,31.38,30.20,17.60,59.01,320.00,4.00,M,30.05,M,10.00,M,CLR,   ,   ,M,M,M,M,M,M,M,M,M,M,M,M,25.32,METAR KPEQ 091146Z AUTO 32004KT 10SM CLR M01/M08 A3005 RMK AO2
1350058,OAJ,2008-03-07 20:55,-77.6121,34.8292,68.00,66.20,93.97,170.00,15.00,0.01,29.77,M,10.00,23.00,SCT,BKN,OVC,M,1100.00,1900.00,2400.00,M,M,M,M,M,M,M,M,68.00,METAR KOAJ 072055Z AUTO 17015G23KT 10SM SCT011 BKN019 OVC024 20/19 A2977 RMK AO1 P0001 60021 57037
1114495,PEA,2008-02-24 21:15,-92.9431,41.3989,41.00,32.00,70.08,190.00,11.00,M,29.96,M,10.00,16.00,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,33.84,M
6352651,DRT,2008-11-10 23:53,-100.9272,29.3742,77.00,57.02,50.11,0.00,0.00,M,29.78,1007.00,10.00,M,CLR,   ,   ,M,M,M,M,M,M,M,M,M,M,M,M,77.00,METAR KDRT 102353Z AUTO 00000KT 10SM CLR 25/14 A2978 RMK AO2 SLP070 T02500139 10272 20239 53007
4101849,IKV,2008-07-23 12:03,-93.5695,41.6878,65.00,63.00,M,M,M,M,30.16,M,10.00,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M
5599587,MSS,2008-10-05 08:53,-74.8456,44.9358,39.02,37.04,92.53,0.00,0.00,M,30.25,1024.70,10.00,M,BKN,   ,   ,   ,8000.00,M,M,M,M,M,M,M,M,M,M,39.02,METAR KMSS 050853Z AUTO 00000KT 10SM BKN080 04/03 A3025 RMK AO2 SLP247 T00390028 50003
5923408,SLK,2008-10-19 22:51,-74.2062,44.3853,32.00,26.06,78.45,0.00,0.00,M,30.31,1029.10,10.00,M,CLR,   ,   ,   ,M,M,M,M,M,M,M,M,M,M,M,32.00,METAR KSLK 192251Z AUTO 00000KT 10SM CLR 00/M03 A3031 RMK AO2 SLP291 T00001033
4459005,RCZ,2008-08-11 12:22,-79.76,34.89,69.80,66.20,88.34,30.00,3.00,M,29.87,M,7.00,M,CLR,   ,   ,M,M,M,M,M,M,M,M,M,M,M,M,69.80,METAR KRCZ 111222Z AUTO 03003KT 7SM CLR 21/19 A2987 RMK AO2
7236873,JHW,2008-12-22 22:55,-79.258,42.1534,12.20,8.60,85.17,250.00,13.00,M,30.26,M,2.00,16.00,OVC,   ,   ,   ,1000.00,M,M,M,M,M,M,M,M,M,M,-3.80,METAR KJHW 222255Z 25013G16KT 2SM OVC010 M11/M13 A3026 RMK AO1
788936,HQZ,2008-02-08 21:46,-96.5304,32.747,73.40,21.20,13.93,290.00,14.00,M,29.84,M,10.00,23.00,CLR,   ,   ,M,M,M,M,M,M,M,M,M,M,M,M,71.09,METAR KHQZ 082146Z AUTO 29014G23KT 10SM CLR 23/M06 A2984 RMK AO2
3168756,PEZ,2008-06-07 09:24,-98.52,28.9542,78.80,73.40,83.55,130.00,6.00,M,29.93,M,10.00,M,BKN,BKN,OVC,M,1800.00,2400.00,2800.00,M,M,M,M,M,M,M,M,82.03,METAR KPEZ 070924Z AUTO 13006KT 10SM BKN018 BKN024 OVC028 26/23 A2993 RMK AO2
4566946,AWO,2008-08-17 05:55,-122.159,48.1608,68.00,57.20,68.35,0.00,0.00,M,29.74,M,9.00,M,CLR,   ,   ,M,M,M,M,M,M,M,M,M,M,M,M,68.00,METAR KAWO 170555Z AUTO 00000KT 9SM CLR 20/14 A2974 RMK AO1 10300 20190 52007
1805478,AIO,2008-03-29 09:15,-95.0465,41.4059,35.60,26.60,69.46,130.00,11.00,M,30.24,M,10.00,-99.00,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,27.02,M
2699494,CNC,2008-05-14 19:04,-93.3608,41.0184,61.00,42.00,49.54,350.00,14.00,M,29.98,M,10.00,17.00,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,61.00,M
6833477,DPL,2008-12-03 23:40,-77.98,35.0,33.80,32.00,93.03,0.00,0.00,M,30.34,M,10.00,M,CLR,   ,   ,M,M,M,M,M,M,M,M,M,M,M,M,33.80,METAR KDPL 032340Z AUTO 00000KT 10SM CLR 01/00 A3034 RMK AO2
4993191,HSE,2008-09-06 12:51,-75.6225,35.2322,80.96,75.92,84.69,180.00,24.00,0.36,29.68,1005.10,2.50,38.00,FEW,SCT,BKN,M,1000.00,2400.00,4000.00,M,HZ,M,M,M,45.00,170.00,2008-09-06 12:05,87.26,METAR KHSE 061251Z AUTO 18024G38KT 2 1/2SM HZ FEW010 SCT024 BKN040 27/24 A2968 RMK AO2 PK WND 17045/1205 RAB1158E37 SLP051 P0036 T02720244 TSNO
